titre,entreprise,contrat,localisation,salaire,description,lien,date_publication,date_scraping,source
Data Analyst H/F,FAB Group,MIS,34 - Montpellier,Annuel de 40.0 Euros à 43.0 Euros,"Assurer la connaissance de l'architecture et des données des différents SI utilisés 

 

Connaitre la structure des différents Datamarts adossés aux SI utilisés

* Jouer le rôle de référent afin de faciliter l'identification et l'accès aux données nécessaires dans les projets ou dans la production

* Coopérer avec les structures métier pour faciliter l'accès aux données nécessaires à leurs activités * Administrer les outils de productivité développés localement et la bureautique * Concevoir, développer et maintenir des outils locaux nécessaires aux interfaces ou complémentaires aux SI des opérateurs du Groupe, en privilégiant les solutions Groupe

Faciliter leur mise en œuvre et optimiser leur usage, notamment au travers de documentation et d'accompagnement au changement

* Suivre et gérer les incidents informatiques en lien avec le périmètre des outils informatiques locaux

 

Analyser et contribuer à optimiser les performances de l'entreprise 

 

* Analyser et synthétiser les résultats produits, élaborer des préconisations et alerter

* Analyser la performance des activités et des prestations réalisées (évolution, comparaison au référentiel de performance ainsi qu'au prévisionnel, coût)

* Contribuer à la construction et à l'exploitation d'un modèle de dimensionnement (ressources / activités)

* S'approprier les activités pour mieux répondre aux besoins et analyser les résultats produits

 

Exploiter les data et produire les tableaux de bord 

 

* Identifier les besoins, données et sources d'information utiles et fiables et les exploiter

* Analyser et synthétiser les résultats produits, élaborer des préconisations et alerter

* Assister la direction pour alimenter les supports d'instances (Conseil d'Administration, Comité des prestations) en tableaux de bord

* Contribuer au développement et à la maintenance d'un référentiel de performance (mesure de la productivité, niveau de prestation et de la rentabilité attendue) et produire un reporting adapté à destination des métiers et la direction

 

Contribuer au bon fonctionnement du département Finances, Pilotage et Data 

 

* Documenter les travaux réalisés et rechercher / déployer des solutions d'automatisation et de gain de productivité

* Assurer une polyvalence au sein du département pour garantir la continuité d'activité

* Rester en contact avec les experts du pilotage et des données au sein de l'organe central, des autres filiales ainsi que des établissements bancaires

* Être à l'écoute des besoins des métiers et apporter l'aide nécessaire au pilotage de leurs activités (indicateurs, tableaux de bord, référentiels de productivité et de dimensionnement, benchmark, anticipation.) en concevant des outils adaptés
Vous êtes titulaire d'une formation BAC+4/5 (école d'ingénieur, université, data, informatique, statistiques, etc.) et vous disposez idéalement d'une première expérience réussie de 1 à 3 ans dans l'exploitation de données et la production de tableaux de bord.

Vous avez une réelle appétence pour le codage et les environnements informatiques, et vous êtes à l'aise avec les outils de requêtage et de visualisation de données, notamment :

 * SQL (Oracle)
 * Power BI

Rigoureux(se), curieux(se) et analytique, vous savez transformer la donnée en indicateurs clairs et exploitables pour les équipes métiers.

Rémunération

 * Salaire : entre 40K€ et 43K€ annuel , selon profil et expérience.
 * Intérim : date de démarrage asap - 27/03/2026
 * Horaires de travail : 38H30 du lundi au vendredi",https://candidat.francetravail.fr/offres/recherche/detail/7942393,2026-01-16,2026-02-11,France Travail
Data Analyst H/F,,CDI,34 - Pérols,,"Spécialiste de l'assurance du 2-3 roues à moteur, l'Assurance Mutuelle Des Motards est reconnue sur son marché en tant que spécialiste et notamment pour sa qualité de service et son implication dans la pratique du 2/3 roues. Vous êtes passionné(e) de 2/3 roues ? Vous souhaitez travailler dans un environnement dynamique et challengeant ? Vous êtes motivé(e) et prêt(e) à relever les défis avec nous ? Vous souhaitez donner plus de sens à votre carrière en travaillant pour une entreprise de l'Economie Sociale et Solidaire ? Nos équipes vous attendent !Spécialiste de l'assurance du 2-3 roues à moteur, la Mutuelle des Motards (480 salariés, 43 Maisons des Motards en France et 85 délégués bénévoles) est reconnue pour sa qualité de service et son implication dans la pratique du 2 roues.Acteur de l'Economie sociale et solidaire et fidèle à ses valeurs de respect et de solidarité, l'Assurance Mutuelle Des Motards recherche, dans le cadre de son développement un(e) :Data Analyst F/HLa Mutuelle des Motards renforce sa Direction de la Prévention, et recherche un·e Data Analyst pour transformer les données en leviers de connaissance et d'action.Vos missionsRattaché·e  au directeur de la prévention, vous contribuez à mettre la donnée au coeur de nos décisions de prévention et à alimenter les choix stratégiques par une analyse rigoureuse des usages et des risques :Analyser les usages, les comportements et les équipements des sociétaires afin d'identifier des profils de risque.Produire des indicateurs et tableaux de bord pour le pilotage des actions de prévention.Participer à la construction de référentiels (typologies d'accidents, comportements à risque, leviers de prévention).Réaliser des études statistiques ou géographiques sur la sinistralité.Travailler en étroite collaboration avec les directions métier (technique, indemnisation, réseau, IT, marketing) dans une logique d'aide à la décision.Liste non exhaustive.",https://candidat.francetravail.fr/offres/recherche/detail/7931757,2026-01-16,2026-02-11,France Travail
Data Analyst(e) (H/F),JOB LINK MARSEILLE TERTIAIRE,MIS,13 - Marseille 16e Arrondissement,Annuel de 25000.0 Euros à 30000.0 Euros,"Job Link, cabinet de recrutement spécialisé CDD/CDI et intérim, recrute pour l'un de ses clients spécialisé dans le transport un(e) Data Analyst(e) dans la cadre d'une mission d'intérim de 6 mois.

A ce titre vos missions sont les suivantes: 
Gestion des contrats fournisseurs : Mise à jour des échéances, renouvellements, et conditions.

Suivi des marges : Analyse des marges par site, client et prestation, proposition d'actions correctives.

Relations fournisseurs : Négociations tarifaires annuelles et optimisation des prix achats/ventes.

Support opérationnel : Alerte quotidienne sur les anomalies tarifaires et accompagnement des équipes internes.


Contrat en 35H 
rémunération 30k B/A
poste à pourvoir début février 2026
 
		
	Bac +2 minimum en gestion, commerce ou finance.
2 ans minimum en gestion de données commerciales, pricing, achats ou ADV.
Maîtrise des outils ERP, Excel (avancé) : TCD, recherche V.
Bonne maîtrise de Power BI pour l'analyse de données.
Bonne compréhension des mécanismes achats/ventes et marges.
Capacité d'analyse, rigueur, autonomie, et sens du détail.",https://candidat.francetravail.fr/offres/recherche/detail/7910734,2026-01-15,2026-02-11,France Travail
DATA ANALYST COMMERCE / TRANSPORT (H/F),CABINET DE RECRUTEMENT SUPPLAY STRASBOURG,CDI,68 - Colmar,Annuel de 35000.0 Euros à 45000.0 Euros,"Votre rôle

En tant que Data Analyst, vous intervenez comme un véritable partenaire business des équipes commerciales, du bureau d'études et des chefs de projet.
Votre objectif est de structurer, analyser et valoriser la donnée afin d'améliorer la performance commerciale, la rentabilité des opérations et l'aide à la décision stratégique.

Vos missions

- Structuration et analyse de la donnée
- Collecter, fiabiliser et exploiter les données commerciales, clients et opérationnelles
- Analyser les volumes, marges, coûts et performances afin d'identifier des leviers d'optimisation
- Réaliser des analyses de rentabilité par client, activité ou projet

Reporting et pilotage de la performance

- Concevoir, développer et maintenir des tableaux de bord de pilotage (KPIs commerciaux et opérationnels)
- Créer des reportings automatisés et visuels via Power BI pour faciliter la lecture et la prise de décision
- Contribuer à l'amélioration continue des outils de reporting existants

Pricing, cotation et aide à la décision

- Participer à la création et à l'évolution des outils de pricing et de cotation
- Fournir des analyses chiffrées pour appuyer les décisions commerciales (offres, appels d'offres, négociations)
- Accompagner les équipes commerciales dans la compréhension et l'exploitation des données

Projets data & outils

- Contribuer activement à la mise en place d'un nouvel outil CRM (définition des besoins, structuration de la donnée, suivi des indicateurs)
- Être force de proposition sur l'optimisation des flux de données et des outils d'analyse

Support transverse

- Apporter un support analytique aux chefs de projet et au bureau d'études
- Participer au reporting client et à la restitution d'analyses chiffrées
- Collaborer avec les équipes internes dans une logique de performance et d'amélioration continue
		
	De formation Bac+3 à Bac+5 en data analytics, statistiques, gestion, ou équivalent, vous justifiez d'une première expérience (2 à 5 ans) sur un poste similaire, idéalement dans un environnement commercial, transport ou industriel.

Compétences attendues :

Maîtrise d'Excel avancé (formules, macros, automatisation, Power Query).

Très bonne connaissance de Power BI (modélisation, DAX, visualisations).

Bases en codage / langage de requêtes (SQL, Python, VBA ou autre).

Forte appétence pour les chiffres, la précision et l'analyse.

Capacité à vulgariser les données et à accompagner les utilisateurs.

Langues :

Un bon niveau d'anglais professionnel est requis (reportings ou échanges occasionnels à l'international).",https://candidat.francetravail.fr/offres/recherche/detail/7830781,2026-01-13,2026-02-11,France Travail
Data analyst commerce / transport (h/f),,CDI,68 - Colmar,,"Votre rôle

En tant que Data Analyst, vous intervenez comme un véritable partenaire business des équipes commerciales, du bureau d'études et des chefs de projet.
Votre objectif est de structurer, analyser et valoriser la donnée afin d'améliorer la performance commerciale, la rentabilité des opérations et l'aide à la décision stratégique.

Vos missions

- Structuration et analyse de la donnée
- Collecter, fiabiliser et exploiter les données commerciales, clients et opérationnelles
- Analyser les volumes, marges, coûts et performances afin d'identifier des leviers d'optimisation
- Réaliser des analyses de rentabilité par client, activité ou projet

Reporting et pilotage de la performance

- Concevoir, développer et maintenir des tableaux de bord de pilotage (KPIs commerciaux et opérationnels)
- Créer des reportings automatisés et visuels via Power BI pour faciliter la lecture et la prise de décision
- Contribuer à l'amélioration continue des outils de reporting existants

Pricing, cotation et aide à la décision

- Participer à la création et à l'évolution des outils de pricing et de cotation
- Fournir des analyses chiffrées pour appuyer les décisions commerciales (offres, appels d'offres, négociations)
- Accompagner les équipes commerciales dans la compréhension et l'exploitation des données

Projets data & outils

- Contribuer activement à la mise en place d'un nouvel outil CRM (définition des besoins, structuration de la donnée, suivi des indicateurs)
- Être force de proposition sur l'optimisation des flux de données et des outils d'analyse

Support transverse

- Apporter un support analytique aux chefs de projet et au bureau d'études
- Participer au reporting client et à la restitution d'analyses chiffrées
- Collaborer avec les équipes internes dans une logique de performance et d'amélioration continue",https://candidat.francetravail.fr/offres/recherche/detail/7814714,2026-01-13,2026-02-11,France Travail
Data Analyst H/F,Michael Page,CDI,France,Annuel de 45000.0 Euros à 55000.0 Euros,"En tant que Data Analyst, vous aurez les responsabilités suivantes :
Amélioration de la qualité des réparations et réduction de redondances pannes : 
 * Comprendre grâce aux statistiques les phénomènes influant sur les retours rapides des vélos en atelier,
 * Présenter les résultats aux équipes opérationnelles pour mettre en place des actions,
 * Définir des métriques et les suivre dans le temps,
 * Suivre les échantillons de vélos avec améliorations techniques pour déterminer leurs performances.
Mise à disposition les analyses et rapports nécessaires au bon fonctionnement des différents services : 
 * Recueillir les demandes en données/analyses des métiers en proposant des solutions techniques durables dans le temps permettant de répondre aux besoins,
 * Préparer les supports hebdomadaires contenant les statistiques nécessaires au pilotage des opérations de l'entreprise,
 * Mettre en place des systèmes surveillances des métriques clés permettant d'avoir connaissance au plus tôt de l'occurrence d'un problème sur les vélos.
Mise en place d'une gouvernance de la donnée : 
 * Définir et appliquer des standards de quaité, de sécurité et de traçabilité des données,
 * Collaborer avec les équipes IT et métiers pour garantir la cohérence et l'accessibilité des données.
Le profil recherché : 
 * Ingénieur(e) ou master 2 minimum en science des données, statistique ou mathématiques,
 * Plusieurs années d'expériences en tant que Data Analyst en entreprise sont un plus.
Compétences techniques : 
 * Les compétences en base de données relationnelles (et langage SQL) sont indispensables,
 * Très bonne maîtrise des outils de visualisation et de bureautique (Power BI, Power Query & Excel),
 * Solides compétences programmation Python (orienté analyses) ainsi que des bibliothèques utiles à la visualisation des données (Pandas, Scikit-learn, NumPy, matplotlib.).
Télétravail.",https://candidat.francetravail.fr/offres/recherche/detail/7771488,2026-01-12,2026-02-11,France Travail
Data steward & analyst données workscopes f/h,,CDI,77 - Montereau-sur-le-Jard,,"<p>Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 100 000 collaborateurs pour un chiffre d'affaires de 27,3 milliards d'euros en 2024, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. <br />
Safran est la 2ème entreprise du secteur aéronautique et défense du classement « World's Best Companies 2024 » du magazine TIME.<br />
<br />
Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance, fiabilité et respect de l'environnement. La société est notamment, à travers CFM International*, le leader mondial de la propulsion d'avions commerciaux courts et moyen-courriers.<br />
* CFM International est une société commune 50/50 de Safran Aircraft Engines et GE Aerospace.<br />
<br />
Parce que nous sommes persuadés que chaque talent compte, nous valorisons et encourageons les candidatures de personnes en situation de handicap pour nos opportunités d'emploi.<br /><br /><br /></p><p style=""font-size:1.2em;"">Descriptif mission</p><p>Au sein de la Division du Support & Services, dans la Direction de l'Engineering Clients, le Département Fleet Data Engineering a pour mission de collecter, décoder, structurer, mettre à disposition et faire vivre les données vitales aux activités des équipes internes en interface avec les clients airlines, lessor et MRO.<br />
<br />
Vous interviendrez comme garant de la qualité, de la cohérence et de l'évolution des données sur le périmètre des données de Workscopes (prévisions de tâches de maintenance des moteurs). Vous serez l'interlocuteur de référence pour le pilotage, le contrôle et la fiabilité des flux et usages de données des workscopes, en interface avec les métiers du Fleet Management, les Product Owners des applications et les équipes techniques IT.<br />
<br />
1. Cockpit des données WALK<br />
	o Piloter la roadmap du cockpit des données (définition des priorités, arbitrages, planification des capacités).<br />
	o Recueillir et formaliser les besoins d'évolution des dashboards auprès des utilisateurs métiers.<br />
	o Prendre en charge ou déléguer l'analyse fonctionnelle et le déploiement des évolutions des dashboards.<br />
	o Assurer le déploiement et l'adoption du cockpit auprès des utilisateurs finaux (FTM).<br />
<br />
2. Supervision et contrôle des flux de données Workscopes via Data Exchange<br />
	o Surveiller et garantir l'alignement des données entre les systèmes (WALK, GE, DTPF...).<br />
	o Identifier et signaler les écarts ou problèmes de complétude/qualité.<br />
Piloter l'investigation et la résolution des écarts détectés, en collaboration avec Data Exchange si nécessaire.<br />
<br />
3. Encadrement des scripts modificatifs sur les données Workscopes<br />
	o Analyser les impacts potentiels des scripts correctifs proposés dans la base de données de WALK<br />
	o Donner ou refuser l'autorisation de déploiement (""Go/No Go"") en environnement de tests ou de production.<br />
	o Collaborer avec les équipes techniques IT ou le PO pour garantir la sécurité et la conformité des modifications.<br />
<br />
4. Gestion des tickets correctifs sur la Dataplateforme Workscopes<br />
	o Prendre en charge la gestion (seul ou en lien avec la Dataplateforme) des tickets correctifs relatifs aux données Workscopes.<br />
	o Assurer la coordination des actions correctives et tenir informés les périmètres concernés.<br />
<br />
5. Gouvernance et usages de la donnée Workscopes<br />
	o Participer aux instances de gouvernance des données SRV<br />
	o Maintenir/faire évoluer le catalogage des données Workscopes dans l'outil Groupe de gouvernance des données<br />
Participer aux initiatives liées à l'usage de la donnée Workscopes (ex : projet IA Workscopes)</p>",https://candidat.francetravail.fr/offres/recherche/detail/7722347,2026-01-11,2026-02-11,France Travail
Data analyst (H/F),,MIS,35 - Rennes,,"Manpower NANTES INFORMATIQUE recherche pour son client, un acteur du secteur des services informatiques, un Data analyst - 35 Rennes (H/F) Missions principales
 - Appropriation du dossier d'installation et analyse des prérequis techniques
 - Préparation des matériels :
 - Réception et contrôle des équipements
 - Gestion et stockage des composants
 - Mise en place du matériel en salle informatique

 - Montage physique des équipements :
 - Serveurs
 - Routeurs
 - Équipements de sauvegarde

 - Réalisation des recettes techniques et électriques
 - Gestion des accès et des droits
 - Mise à jour des firmwares et application des patchs de sécurité
 - Configuration et interconnexion des équipements réseau
 - Installation des socles techniques
 - Configuration et paramétrage des infrastructures
 - Réalisation de la recette globale et validation du bon fonctionnement
Environnement technique
 - Infrastructures serveurs et réseaux
 - Matériels datacenter
 - Sécurité et mises à jour systèmes
 Profil recherché
 - Formation en informatique (Bac +2 à Bac +5 ou équivalent)
 - Expérience en installation et déploiement d'infrastructures IT appréciée
 - Bonnes connaissances en réseaux, serveurs et équipements de sécurité
 - Capacité à lire et appliquer des dossiers techniques
 - Rigueur, autonomie et sens de l'organisation
 - Esprit d'analyse et capacité à travailler en équipe
Si votre candidature a retenu notre attention pour ce poste, voici les étapes du processus de recrutement :
 - Un échange téléphonique préalable
 - Si nécessaire, des évaluations ciblées types (technique, personnalité, ?)
 - Un entretien avec le client
Nous assurons le pilotage de votre mission pour un parcours réussi : Formation, sensibilisation Sécurité, gestion administrative, ?

Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap",https://candidat.francetravail.fr/offres/recherche/detail/7623910,2026-01-08,2026-02-11,France Travail
Data analyst (H/F),,CDI,94 - Kremlin-Bicêtre,,"Description du poste Effectuer des requêtes dans le SIRH ALLIANCE pour les différents travaux et études relatives aux personnels civils.
-Assurer la mise à jour dans le SIRH ALLIANCE des postes, des structures et des personnels civils.
-Créer et suivre la gestion des comptes d'accès à ALLIANCE et apporter une assistance aux agents du CND sur le SIRH.
-Analyser mensuellement les écarts entre les données dans ALLIANCE (requête BI sous format Excel) et les données du plan de recrutement ; signaler les écarts sur les entrées / sorties aux Autorités territoriales d'emploi du CND.
-Participer aux différents travaux et études relatives aux personnels civils.
-Apporter un soutien aux autres agents de la section en cas de besoin et d'absence des titulaires de poste.
Description du profil :
Une expérience dans les outils bureautiques (excel ou équivalent est un plus.",https://candidat.francetravail.fr/offres/recherche/detail/7605865,2026-01-08,2026-02-11,France Travail
Data Analyst H/F,Unicancer,CDI,94 - Kremlin-Bicêtre,Annuel de 40000.0 Euros à 45000.0 Euros,"2025-4921-Data Analyst H/F

Contrat : CDI

Date de prise de fonction : 12/01/2026

Lieu : OKABE

Service : D.I.P.I.
1. Pilotage des projets

 * Définir les besoins fonctionnels en collaboration avec les utilisateurs
 * Planifier et coordonner les différentes phases des projets (de la conception à la livraison).
 * Superviser la conception, le développement et le déploiement des tableaux de bord et rapports interactifs.
 * Contribuer à l'interopérabilité et à l'optimisation des outils numériques dans le cadre des essais cliniques.
 * Répondre rapidement aux demandes de données/d'indicateurs émanant de la direction R&D

2. Coordination avec les parties prenantes

 * Collaborer avec le groupe de travail du projet CTMS pour définir et implémenter les tableaux de bord requis.
 * Assurer le suivi des indicateurs SIGREC en relation avec le pôle DIPI et la Direction R&D.
 * Travailler en synergie avec les équipes projets (Opérations Cliniques, CRB), les data-managers, les statisticiens.
 * Contribuer avec la Direction aux besoins des travaux ministériels.

3. Gestion et valorisation des données

 * Collecter, analyser et transformer les données pour les rendre exploitables.
 * Mettre en place des modèles prédictifs et des indicateurs de performance adaptés.
 * Identifier des opportunités pour valoriser les données dans un cadre stratégique.

4. Support et formation

 * Former les équipes à l'utilisation des tableaux de bord et du self-service BI.
 * Fournir un support technique pour garantir la continuité et l'efficacité des solutions mises en place.
 * Conseiller la Direction sur les outils numériques susceptibles d'améliorer les process et contribuer à leur implémentation.

CONNAISSANCES TECHNIQUES

 * Expertise dans un ou plusieurs de datavisualisation : DigDash, QlikSense, Power BI, Power Query.
 * Maîtrise en langages de programmation, notamment Python, R, DAX, langage M, javascript, SQL ou PLSQL.
 * Connaissances des outils : ETL, data-cleaning, data-mining, web scraping, API.
 * Solides connaissances en gestion de bases de données et en analyse de données.
 * Bonne maîtrise de la suite Office et des outils d'IA, en particulier générative
 * Connaissance des environnements Windows et Linux
 * Connaissance des outils de gestion de projet de type AGILE
CAPACITES

 * Leadership et capacité à piloter des projets complexes.
 * Esprit analytique et rigueur.
 * Capacité à travailler en équipe pluridisciplinaire.
 * Excellentes compétences en communication et en gestion des parties prenantes.
 * Bac + 3 à +5 en informatique, Master en statistiques ou type ""MIAGE"", analyse de données, Big Data, IA
 * Expérience significative dans la gestion de projets d'analyse de données ou un poste similaire.

COMPETENCES 

 * Respect des contraintes réglementaires, éthiques et de sécurité des données.
 * Gestion des projets en alignement avec les stratégies définies par la Direction R&D.
 * Capacité à respecter les délais et à délivrer des solutions adaptées aux besoins utilisateurs.",https://candidat.francetravail.fr/offres/recherche/detail/7584150,2026-01-08,2026-02-11,France Travail
Data analyst  contrats de service f/h,,CDI,77 - Montereau-sur-le-Jard,,"<p>Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 100 000 collaborateurs pour un chiffre d'affaires de 27,3 milliards d'euros en 2024, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. <br />
Safran est la 2ème entreprise du secteur aéronautique et défense du classement « World's Best Companies 2024 » du magazine TIME.<br />
<br />
Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance, fiabilité et respect de l'environnement. La société est notamment, à travers CFM International*, le leader mondial de la propulsion d'avions commerciaux courts et moyen-courriers.<br />
* CFM International est une société commune 50/50 de Safran Aircraft Engines et GE Aerospace.<br />
<br />
Parce que nous sommes persuadés que chaque talent compte, nous valorisons et encourageons les candidatures de personnes en situation de handicap pour nos opportunités d'emploi.<br /><br /><br /></p><p style=""font-size:1.2em;"">Descriptif mission</p><p>Dans le cadre des contrats de service MCR (Maintenance Cost Reconciliation) et du suivi des poussées moteurs, nous recherchons un Data Analyst.<br />
<br />
La première mission du Data Analyst tournera autour de la donnée (collecte, compilation, nettoyage et identification d'incohérence des données) de nouveaux contrats de service tout juste déployés auprès de nos grands clients. <br />
<br />
Ceci permettra de mener l'analyse économiques des contrats de services MCR (Maintenance Cost Reconciliation). Pour ce faire, il sera amené à développer ou aider au développement d'outils de visualisation de la donnée ainsi que des outils de calculs, pouvant être adaptés selon les besoins des différentes Customer Teams.<br />
<br />
Dans le cadre de la réalisation des outils lié à ces contrats, le Data Analyst devra mettre en place des seuils et des niveaux d'alertes (par exemple : sur les coûts des Shop Visit liés aux scraps, aux workscopes etc...) qui lui auront été préalablement communiqué par les CSPM (Customer Support and Program Manager). Pour ce faire, il devra analyser et mettre à disposition les données via des KPI exploitables pour les Customer Teams et leur apporter le support nécessaire pour la l'interprétation des informations.<br />
<br />
Les contrats MCR étant gérés par deux entités distinctes (Safran et General Electric Aerospace), le Data Analyst créera aussi des outils afin d'effectuer la revue des données de notre partenaire et mettre en place des KPI similaires.</p>",https://candidat.francetravail.fr/offres/recherche/detail/7455458,2026-01-06,2026-02-11,France Travail
Data analyst (H/F),,CDI,54 - Nancy,,"Description du poste :
Collecter, consolider et analyser les données permettant d'alimenter les indicateurs définis dans le plan d'action, le tableau de bord du chef de corps et les recherches statistiques internes et externes
Mettre à jour les indicateurs avec les éléments collectés
Participer à tout audit interne susceptible d'améliorer le fonctionnement d'une procédure d'une division
Participer à l'organisation des conseils de gestion
Identifier et, le cas échéant, proposer des actions d'amélioration du dispositif
Superviser/manager PHILEAS
Collecter, consolider et analyser les données permettant d'alimenter les indicateurs définis dans le plan d'action, le tableau de bord du chef de corps et les recherches statistiques internes et externes
Animer et/ou assister aux formations internes et externes
Assurer un appui aux différents services dans le cadre de la conception d'outils informatiques
Assurer le suivi de l'AVNAT
Description du profil",https://candidat.francetravail.fr/offres/recherche/detail/7226695,2025-12-30,2026-02-11,France Travail
Data analyst (H/F),,CDI,75 - Paris 9e Arrondissement,,"Description du poste :
Maitriser l'utilisation des outils statistiques (R et SAS indispensables, Python notions) et des outils de programmation et de visualisation de données (SAS visual analytics, Power BI, Clik.).
Piloter des enquêtes sociologiques (définition de la problématique, rédaction du questionnaire tirage de l'échantillon.) visant à recueillir des données complémentaires à celles disponibles dans les systèmes d'information RH.
Conduire les exploitations et les analyses statistiques à partir de toutes les données disponibles au sein du bureau (BDRH, extraction de SI.). Rédiger des Repères RH (4 pages) permettant de valoriser les données disponibles au sein du bureau
Exploiter les données relatives à la rémunération du personnel notamment pour contribuer aux travaux budgétaires (calcul du GVT, coûts moyens.).
Présenter à l'écrit comme à l'oral les résultats des études conduites de manière claire et synthétique
Gérer le recueil des données, leur mise à jour, l'harmonisation et la fusion des fichiers nécessaires à la réalisation des études
Répondre aux demandes d'indicateurs ou de problématiques spécifiques adressées au bureau.
Participer à la réflexion sur la définition des enquêtes (proposition de sujets, définition de la problématique.)
Réaliser des travaux de synthèse mettant en avant les résultats disponibles au sein du bureau
Réaliser une veille sur les thématiques traitées au sein du bureau
Description du profil",https://candidat.francetravail.fr/offres/recherche/detail/7226003,2025-12-30,2026-02-11,France Travail
Data analyst (H/F),,CDI,75 - Paris 9e Arrondissement,,"Description du poste :
Au sein du bureau des études économiques, vous réaliserez des études sur des sujets dans les domaines économique et social au profit de diverses entités du ministère (états-majors, directions et services sous l'autorité du chef d'état-major des armées (CEMA), de la direction générale de l'armement (DGA), du secrétariat général pour l'administration (SGA)).
Pour répondre aux besoins exprimés par ces entités, vous mobiliserez, en lien avec ces dernières, vos compétences pour exploiter :
-des données produites par l'Insee ou d'autres services statistiques ministériels (ex. ministère du travail (DARES), ministères financiers (SSM DGFiP et SSM Douanes)
-des données produites par le ministère (données RH par exemple)
À titre d'illustration, des travaux récents ont porté sur des caractéristiques de la base industrielle et technologique de défense (BITD) ou encore certaines dimensions sociales de la population militaire (ex. logement des militaires).
Certaines études ont vocation à faire l'objet de publication dans la collection ""Ecodef"".
Description du profil :
Titulaire d'un diplôme de niveau Bac+5 (Master 2 en économie, ou économétrie, diplôme d'ingénieurs (ENSAE, ENSAI, Mines ParisTech, ENSI vous maîtrisez l'analyse des données, ses outils et langages de programmation (R principalement, Python pour la data science) afin d'être en mesure d'extraire et traduire des données brutes en données décisionnelles :
-Vous appréhendez aisément le contenu d'une base de données et sa documentation afin d'en exploiter les données utiles et in fine analyser les informations générées par les traitements pour en tirer des informations pertinentes.
-Vous démontrez une capacité à traduire le besoin exprimé par le bénéficiaire afin de produire de manière autonome des livrables immédiatement exploitables par lui grâce à des capacités rédactionnelles éprouvées.
-Vous maîtrisez les outils de datavisualisation/business intelligence et, idéalement l'environnement de la plateforme Onyxia.
Votre esprit d'initiative, vos qualités relationnelles, votre sens du travail en équipe et votre capacité d'adaptation sont indispensables pour accomplir vos missions.
Une première expérience dans le domaine de la statistique publique et des études économiques est souhaitée.",https://candidat.francetravail.fr/offres/recherche/detail/7225813,2025-12-30,2026-02-11,France Travail
Data analyst (H/F),,CDI,35 - Rennes,,"Description du poste :
Affecté au bureau pilotage, performance et soutien du Centre Ministériel de Gestion de Rennes, le chargé d'études participe activement au pilotage de la performance au sein du CMG.
Sur la démarche de contrôle interne Participer à la construction des indicateurs de suivi des risques et des plans d'action déterminés dans les macro processus ayant fait l'objet d'un déploiement.
-Assurer les différents contrôles relatifs à la gestion administrative et à la paie du ressort du bureau.
-S'assurer de la bonne correction des anomalies relevées dans le cadre du contrôle interne, notamment comptable.
-Participer à la rédaction de fiches pratiques à destination des gestionnaires du CMG.
Sur l'administration des différents SI :
-Participer à l'administration et au soutien aux utilisateurs du CMG de l'application Scénario NG, de l'outil SAFIA et d'ALLIANCE NG.
-Réaliser des études statistiques et requêtes sous BI pour répondre aux différentes demandes.
-Appuyer la référente ALLIANCE dans le suivi de la fiabilisation des informations saisies dans le SIRH Alliance NG.
Alimenter les indicateurs de suivi des risques et de suivi des plans d'action associés
Participer au soutien aux utilisateurs du CMG de l'application Scénario NG
Réaliser des études statistiques et requêtes sous BI
S'assurer de la correcte saisie des données RH et paie dans le SIRH Alliance NG en lien avec la référente
Assurer la gestion des droits et habilitations, TULEAP, MODOP (1er niveau d'assistance utilisateur)
Description du profil :
Connaissance de la gestion RH et ou de la paie.
Appétence pour les outils bureautiques et systèmes d'information.
Ce poste est ouvert au corps technique.",https://candidat.francetravail.fr/offres/recherche/detail/7225464,2025-12-30,2026-02-11,France Travail
